date/time,count
12am,0
01am,0
02am,0
03am,0
04am,0
05am,0
06am,2363
07am,1811
08am,1410
09am,26380
10am,122455
11am,142589
12pm,141367
01pm,141238
02pm,138034
03pm,17936
04pm,0
05pm,0
06pm,0
07pm,0
08pm,0
09pm,0
10pm,0
11pm,0
