date/time,count
12am,0
01am,0
02am,0
03am,0
04am,0
05am,0
06am,1165
07am,1190
08am,2352
09am,12195
10am,28547
11am,28845
12pm,25586
01pm,22056
02pm,20893
03pm,2611
04pm,0
05pm,0
06pm,0
07pm,0
08pm,0
09pm,0
10pm,0
11pm,0
